chr	pos	strand	M	Cov
1	108	+	6	6
1	109	-	14	17
1	114	+	5	7
1	115	-	14	15
1	160	+	5	7
1	161	-	13	16
1	309	+	3	8
1	310	-	2	10
1	499	+	4	9
1	500	-	2	3
1	510	+	6	8
1	642	-	7	10
1	646	+	2	6
1	647	-	7	11
1	649	+	2	6
1	650	-	5	11
1	789	+	4	8
1	790	-	3	4
1	808	+	7	7
1	809	-	3	4
1	838	+	6	8
1	839	-	3	6
1	903	+	7	10
1	904	-	9	11
1	910	+	7	10
1	911	-	10	12
1	947	+	6	9
1	948	-	10	13
1	5448	+	3	6
1	5449	-	2	7
1	5458	+	6	6
1	5459	-	5	6
1	5464	+	6	7
1	5465	-	4	6
1	5488	-	2	7
1	6501	+	4	6
1	6502	-	2	5
1	6512	-	2	5
1	6519	+	2	6
1	6520	-	3	4
1	6682	+	2	4
1	6685	+	2	5
1	7019	+	3	4
1	7021	+	3	4
1	7022	-	2	4
1	7033	+	2	3
1	17395	-	6	9
1	17543	+	10	11
1	17544	-	12	14
1	17571	+	14	16
1	17572	-	17	18
1	17601	+	10	12
1	17602	-	16	18
1	17639	+	11	11
1	17640	-	14	14
1	17831	+	7	8
1	17832	-	6	6
1	17958	+	3	4
1	17959	-	6	7
1	18104	+	2	2
1	18105	-	3	3
1	18358	-	2	3
1	18379	-	1	1
1	18435	+	6	7
1	18440	+	8	9
1	18445	+	8	9
1	18447	+	8	9
1	18515	+	13	13
1	18516	-	3	3
1	18539	+	12	13
1	18540	-	5	5
1	18700	+	13	14
1	18701	-	11	12
1	18714	+	12	13
1	18715	-	8	9
1	18754	+	5	10
1	18755	-	4	8
1	23998	+	2	6
1	24009	+	5	8
1	24014	+	4	9
1	24015	-	1	1
1	24187	+	5	7
1	24188	-	1	1
1	24189	+	7	7
1	24190	-	1	1
1	24195	+	6	7
1	24196	-	2	2
1	24235	+	8	9
1	24236	-	5	6
1	24302	+	7	7
1	24303	-	4	6
1	24311	+	8	9
1	24312	-	6	6
1	24330	+	6	7
1	24331	-	5	5
1	24351	+	7	7
1	24352	-	4	4
1	24353	+	7	7
1	24354	-	4	4
1	24413	+	5	9
1	24414	-	5	7
1	24455	+	6	10
1	24456	-	6	7
1	24622	+	6	8
1	24623	-	2	3
1	24634	+	8	9
1	24635	-	5	5
1	24722	+	8	8
1	24723	-	6	6
1	24746	+	2	4
1	24747	-	3	5
1	24834	+	4	6
1	24835	-	6	6
1	24837	+	6	6
1	24838	-	5	5
1	24944	+	10	10
1	24945	-	6	8
1	25064	+	6	6
1	25065	-	8	8
1	25075	+	3	4
1	25076	-	8	8
1	25083	+	3	4
1	25084	-	7	7
1	25103	+	4	4
1	25104	-	5	5
1	25123	+	3	3
1	25124	-	2	2
1	25167	+	9	9
1	25168	-	2	2
1	25170	+	10	10
1	25171	-	2	2
1	25244	+	12	12
1	25245	-	6	6
1	25332	+	5	5
1	25333	-	1	1
1	25346	+	6	6
1	25347	-	2	2
1	25353	+	5	6
1	25354	-	2	2
1	25648	+	10	10
1	25649	-	4	4
1	25666	+	8	8
1	25667	-	5	5
1	25668	+	8	8
1	25669	-	5	5
1	25671	+	8	9
1	25672	-	4	4
1	25708	+	6	8
1	25709	-	5	5
1	25772	+	9	9
1	25773	-	5	5
1	25782	+	7	8
1	25783	-	5	5
1	25830	+	4	5
1	25831	-	5	5
1	25843	+	5	5
1	25844	-	5	6
1	25861	+	4	4
1	25862	-	3	3
1	25864	+	4	4
1	25865	-	3	3
1	25946	+	5	5
1	25947	-	3	5
1	25960	+	5	5
1	25961	-	5	5
1	26087	+	5	7
1	26099	+	6	6
1	26100	-	2	3
1	26113	+	4	4
1	26114	-	3	3
1	26350	+	10	10
1	26351	-	5	6
1	26360	+	8	8
1	26361	-	7	7
1	26365	+	7	7
1	26366	-	8	8
1	26379	+	4	4
1	26380	-	8	8
1	26402	+	4	4
1	26403	-	7	9
1	26408	+	3	4
1	26409	-	9	9
1	26557	+	3	5
1	26558	-	6	8
1	26562	+	4	5
1	26563	-	7	8
1	26600	+	5	5
1	26601	-	7	8
1	26649	+	6	6
1	26650	-	5	5
1	26728	+	4	5
1	26729	-	3	3
1	26730	+	5	5
1	26731	-	2	2
1	26786	+	6	6
1	26787	-	5	5
1	26920	+	4	4
1	26921	-	2	3
1	27148	+	11	11
1	27149	-	9	9
1	27162	+	10	10
1	27163	-	7	7
1	27184	+	8	9
1	27185	-	6	6
1	27484	+	6	6
1	27485	-	3	4
1	27499	+	2	2
1	27500	-	4	4
1	27501	+	3	3
1	27502	-	4	4
1	27624	+	6	6
1	27625	-	5	5
1	27650	+	8	8
1	27651	-	4	5
1	27843	+	4	4
1	27844	-	6	6
1	27872	+	5	5
1	27873	-	6	6
1	27977	+	5	6
1	27978	-	5	7
1	27989	+	5	6
1	27990	-	6	6
1	28015	+	5	5
1	28016	-	7	7
1	28020	+	6	6
1	28021	-	9	9
1	28032	+	5	5
1	28033	-	9	9
1	28090	+	6	9
1	28091	-	5	6
1	28158	+	10	10
1	28159	-	6	7
1	28299	+	8	8
1	28300	-	3	3
1	28308	+	9	9
1	28309	-	3	3
1	28315	+	9	9
1	28316	-	3	3
1	28323	+	7	7
1	28324	-	3	3
