chr	pos	strand	M	Cov
1	108	+	4	4
1	109	-	10	10
1	114	+	4	4
1	115	-	9	9
1	160	+	7	9
1	161	-	8	8
1	309	+	5	7
1	310	-	3	5
1	499	+	4	9
1	500	-	4	6
1	510	+	4	8
1	511	-	4	6
1	641	+	6	7
1	642	-	5	7
1	646	+	6	8
1	647	-	4	7
1	649	+	6	8
1	650	-	6	8
1	789	+	7	9
1	790	-	5	5
1	808	+	10	10
1	809	-	5	5
1	838	+	7	8
1	839	-	4	6
1	903	+	3	5
1	904	-	8	9
1	910	+	2	5
1	911	-	7	9
1	947	+	4	6
1	948	-	9	13
1	5448	+	3	7
1	5449	-	2	7
1	5458	+	4	6
1	5459	-	6	7
1	5464	+	5	6
1	5465	-	6	6
1	6502	-	3	4
1	6520	-	3	4
1	6682	+	2	6
1	6685	+	2	6
1	6691	+	2	6
1	7019	+	6	8
1	7020	-	6	7
1	7021	+	6	8
1	7022	-	6	7
1	7033	+	3	9
1	7034	-	3	7
1	17543	+	7	8
1	17544	-	10	16
1	17571	+	6	10
1	17572	-	10	15
1	17601	+	6	9
1	17602	-	7	17
1	17639	+	11	11
1	17640	-	8	11
1	17831	+	3	4
1	17832	-	8	8
1	17958	+	5	6
1	17959	-	2	3
1	18104	+	2	3
1	18105	-	3	3
1	18358	-	6	7
1	18364	-	6	6
1	18375	-	4	5
1	18379	-	4	4
1	18435	+	3	3
1	18440	+	3	3
1	18445	+	3	3
1	18447	+	4	4
1	18515	+	4	4
1	18516	-	2	2
1	18539	+	5	5
1	18540	-	4	4
1	18700	+	7	7
1	18701	-	9	10
1	18714	+	6	7
1	18715	-	8	9
1	18754	+	2	6
1	18755	-	3	6
1	24187	+	12	12
1	24188	-	4	4
1	24189	+	9	12
1	24190	-	4	4
1	24195	+	13	13
1	24196	-	4	4
1	24235	+	11	13
1	24236	-	2	2
1	24302	+	5	6
1	24311	+	4	5
1	24312	-	1	1
1	24330	+	4	5
1	24331	-	2	2
1	24351	+	7	7
1	24352	-	2	2
1	24353	+	7	7
1	24354	-	2	2
1	24413	+	7	8
1	24414	-	5	6
1	24455	+	4	8
1	24456	-	6	10
1	24622	+	8	8
1	24623	-	5	5
1	24634	+	7	7
1	24635	-	5	5
1	24722	+	4	5
1	24723	-	7	7
1	24746	+	4	7
1	24747	-	6	6
1	24834	+	5	6
1	24835	-	5	5
1	24837	+	5	6
1	24838	-	4	5
1	24849	+	2	6
1	24944	+	11	11
1	24945	-	3	3
1	25064	+	12	13
1	25065	-	7	7
1	25075	+	10	11
1	25076	-	6	7
1	25083	+	10	12
1	25084	-	6	7
1	25103	+	9	12
1	25104	-	7	7
1	25123	+	10	10
1	25124	-	5	5
1	25167	+	8	10
1	25170	+	9	10
1	25171	-	3	3
1	25244	+	11	13
1	25245	-	9	9
1	25332	+	13	13
1	25333	-	5	5
1	25346	+	10	12
1	25347	-	4	4
1	25353	+	10	11
1	25354	-	4	4
1	25648	+	6	7
1	25649	-	5	5
1	25666	+	4	7
1	25667	-	4	6
1	25668	+	7	7
1	25669	-	6	6
1	25671	+	7	7
1	25672	-	6	6
1	25708	+	4	5
1	25709	-	3	5
1	25772	+	8	8
1	25773	-	6	6
1	25782	+	9	10
1	25783	-	6	6
1	25830	+	9	10
1	25831	-	3	3
1	25843	+	9	10
1	25844	-	3	4
1	25861	+	6	7
1	25862	-	3	3
1	25864	+	5	6
1	25865	-	3	3
1	25946	+	4	5
1	25947	-	3	4
1	25960	+	5	6
1	25961	-	4	4
1	26087	+	7	8
1	26088	-	5	5
1	26099	+	5	5
1	26100	-	5	5
1	26113	+	6	6
1	26114	-	5	5
1	26191	+	4	7
1	26192	-	3	4
1	26350	+	7	10
1	26351	-	8	9
1	26360	+	7	8
1	26361	-	6	6
1	26365	+	8	8
1	26366	-	6	6
1	26379	+	9	9
1	26380	-	6	7
1	26402	+	7	7
1	26403	-	7	7
1	26408	+	6	7
1	26409	-	7	7
1	26557	+	9	10
1	26558	-	2	3
1	26562	+	8	8
1	26563	-	2	3
1	26600	+	3	3
1	26601	-	2	2
1	26649	+	2	2
1	26650	-	5	5
1	26728	+	3	3
1	26729	-	4	4
1	26730	+	2	2
1	26731	-	3	4
1	26786	+	3	3
1	26787	-	1	1
1	26920	+	5	5
1	26921	-	6	8
1	27148	+	9	9
1	27149	-	7	7
1	27162	+	10	11
1	27163	-	4	4
1	27184	+	11	12
1	27185	-	3	3
1	27484	+	4	4
1	27485	-	4	5
1	27499	+	4	4
1	27500	-	5	6
1	27501	+	4	4
1	27502	-	4	6
1	27624	+	6	6
1	27625	-	12	13
1	27650	+	5	5
1	27651	-	10	10
1	27843	+	8	8
1	27844	-	6	6
1	27872	+	5	6
1	27873	-	3	4
1	27977	+	3	4
1	27978	-	4	4
1	27989	+	3	3
1	28015	+	2	2
1	28016	-	3	3
1	28020	+	3	3
1	28021	-	3	3
1	28032	+	2	3
1	28033	-	3	3
1	28090	+	4	5
1	28091	-	1	1
1	28158	+	6	6
1	28159	-	2	3
1	28299	+	5	7
1	28300	-	3	3
1	28308	+	7	7
1	28309	-	2	2
1	28315	+	7	7
1	28323	+	7	7
1	28324	-	2	2
1	28515	+	6	7
1	28516	-	5	5
1	28753	+	6	6
1	28754	-	3	4
1	28763	+	6	6
1	28764	-	4	4
1	28790	-	4	4
1	28848	+	4	4
1	28849	-	5	5
1	28859	+	3	5
1	28860	-	2	5
1	28923	+	3	5
1	28924	-	5	8
1	28947	+	5	5
1	28948	-	7	8
1	28958	+	7	7
1	28959	-	8	9
1	28964	+	6	6
1	28965	-	10	10
1	28978	+	6	6
1	28979	-	6	8
1	29179	+	6	6
1	29180	-	3	3
1	29184	+	5	6
1	29185	-	4	4
1	29206	+	6	6
1	29207	-	4	4
1	29232	+	5	5
1	29233	-	3	3
1	29255	+	2	3
1	29256	-	4	4
1	29288	-	2	6
1	29382	+	3	6
1	29383	-	2	2
1	29387	+	6	6
1	29388	-	2	2
1	29392	+	2	4
1	29397	+	3	5
1	29398	-	2	2
1	29427	+	5	5
1	29428	-	2	2
1	29434	+	4	4
1	29435	-	2	2
1	29437	+	2	5
1	29463	+	6	6
1	29464	-	3	3
1	29470	+	4	4
1	29471	-	3	3
1	29494	+	8	8
1	29495	-	3	3
1	29506	+	6	6
1	29507	-	3	3
1	29562	+	9	12
1	29563	-	3	3
1	29567	+	12	12
1	29568	-	3	3
1	29626	+	7	8
1	29627	-	2	2
1	29629	+	7	9
1	29630	-	2	2
1	29704	+	9	11
1	29705	-	4	4
1	29755	+	4	9
1	29887	+	3	3
1	29888	-	7	8
1	29889	+	3	3
1	29890	-	7	8
1	29952	-	4	8
1	29966	+	3	4
1	29967	-	6	8
1	29976	+	6	6
1	29977	-	8	8
1	29986	+	6	7
1	29987	-	7	7
1	29999	+	6	6
1	30000	-	5	7
1	30001	+	4	5
1	30002	-	7	8
1	30006	+	6	7
1	30007	-	7	7
1	30035	+	5	9
1	30036	-	5	7
1	30040	+	9	10
1	30041	-	5	6
1	30049	+	2	10
1	30055	+	9	11
1	30056	-	7	7
1	30175	+	6	7
1	30176	-	3	4
1	30183	+	7	8
1	30184	-	4	4
1	30189	+	8	8
1	30190	-	4	4
1	30464	+	7	7
1	30465	-	7	8
1	30469	+	4	6
1	30470	-	8	8
1	30484	+	6	6
1	30485	-	8	8
1	30521	+	2	5
1	30522	-	3	7
1	30542	+	3	3
1	30543	-	5	7
1	30561	+	3	3
1	30562	-	7	8
1	30564	+	3	3
1	30565	-	5	7
1	30584	+	5	5
1	30585	-	5	5
1	30593	+	9	9
1	30594	-	4	4
1	30623	+	8	11
1	30624	-	5	5
1	30630	+	10	11
1	30631	-	5	5
1	30690	+	10	15
1	30691	-	6	7
1	30698	+	11	14
1	30699	-	5	6
1	30714	+	12	13
1	30715	-	6	6
1	30752	+	4	16
1	30753	-	2	7
1	30758	+	4	16
1	30878	+	2	7
1	31698	+	6	8
1	31699	-	4	6
1	31706	+	3	6
1	31707	-	6	7
1	31709	+	4	5
1	31710	-	6	6
1	31969	+	5	6
1	31983	+	3	6
1	31984	-	3	4
1	32136	+	9	10
1	32137	-	2	2
1	35020	+	6	6
1	35021	-	4	5
1	35027	+	7	8
1	35028	-	4	5
1	35042	+	5	8
1	35043	-	5	6
1	35050	+	6	8
1	35051	-	6	6
1	35230	+	3	4
1	35231	-	4	4
1	35423	+	2	2
1	35424	-	5	8
1	35425	+	2	2
1	35426	-	6	8
1	35883	+	3	4
1	35884	-	4	4
1	35892	+	4	4
1	35893	-	2	3
1	35900	+	4	4
1	35901	-	3	3
1	36090	+	7	9
1	36091	-	6	7
1	36099	+	7	9
1	36100	-	9	10
1	42546	-	2	9
1	44726	+	6	8
1	44727	-	8	8
1	47946	+	2	8
1	47965	-	2	7
1	55841	+	4	7
1	55842	-	12	14
1	55919	+	3	3
1	55920	-	7	8
1	55921	+	4	4
1	55922	-	8	8
1	55937	+	3	3
1	55938	-	5	6
1	55997	+	5	5
1	55998	-	2	7
1	56015	+	5	6
1	56016	-	7	7
1	56024	+	5	6
1	56025	-	6	7
1	56042	+	6	6
1	56043	-	8	8
1	56075	+	5	5
1	56076	-	7	8
1	56093	+	5	6
1	56094	-	6	7
1	56120	+	4	4
1	56121	-	7	9
1	56147	+	2	2
1	56148	-	11	11
1	56156	+	2	2
1	56157	-	13	13
1	56201	+	4	4
1	56202	-	7	8
1	56211	+	4	4
1	56212	-	8	8
1	56240	+	3	4
1	56241	-	5	7
1	56258	+	4	4
1	56259	-	6	7
1	56267	+	4	4
1	56268	-	8	8
1	56404	+	5	5
1	56405	-	6	7
1	56429	+	2	3
1	56430	-	5	6
1	56439	+	2	2
1	56440	-	6	6
1	56458	+	4	4
1	56459	-	7	7
1	56519	+	6	6
1	56520	-	5	6
1	56541	+	7	7
1	56542	-	5	6
1	65144	+	2	9
1	65145	-	2	10
1	70632	-	2	9
1	70683	+	3	3
1	70684	-	4	5
1	70691	+	3	3
1	70692	-	4	5
1	70720	+	1	1
1	70721	-	6	11
1	70788	+	2	7
1	70789	-	5	9
1	70834	+	5	7
1	70865	+	4	5
1	70866	-	4	4
1	70876	+	3	4
1	70877	-	6	7
1	71872	+	5	13
1	71873	-	5	13
1	71879	+	8	13
1	71880	-	6	13
1	71897	+	6	12
1	71898	-	6	11
1	76838	+	4	6
1	76839	-	4	5
1	76856	+	4	7
1	76857	-	3	5
1	76943	+	5	10
1	76944	-	8	9
1	77000	+	3	5
1	77001	-	7	7
1	77036	+	5	5
1	77037	-	1	1
1	77038	+	6	6
1	77039	-	1	1
1	77059	+	5	7
1	77060	-	3	4
1	77220	+	14	14
1	77221	-	4	4
1	77222	+	13	13
1	77223	-	3	3
1	77229	+	12	12
1	77230	-	3	3
1	77241	+	13	14
1	77242	-	3	5
1	77352	+	5	9
1	77353	-	3	4
1	77368	+	5	6
1	77369	-	4	4
1	77371	+	5	7
1	77372	-	5	5
1	77378	+	3	5
1	77379	-	5	6
1	77391	+	5	6
1	77392	-	3	4
1	90396	-	3	7
1	92671	+	7	7
1	92672	-	3	4
1	92865	+	7	7
1	92866	-	7	7
1	92875	+	8	9
1	92876	-	5	5
1	92889	+	7	8
1	92890	-	3	4
1	93220	+	5	6
1	93221	-	5	6
1	93325	+	5	10
1	93326	-	4	6
1	93531	+	6	6
1	93532	-	2	3
1	93535	+	5	5
1	93536	-	3	3
1	93798	+	6	7
1	93799	-	12	12
1	93807	+	7	8
1	93808	-	9	11
1	93831	+	2	7
1	93832	-	5	8
1	93834	+	4	7
1	93835	-	5	6
1	93981	+	9	11
1	93982	-	4	6
1	93991	+	10	11
1	93992	-	5	6
1	94025	+	5	9
1	94026	-	4	4
