Chr Pos M Cov
chr1 109 2 3
chr1 115 0 3
chr1 161 1 2
chr1 162 4 6
chr1 310 0 9
chr1 311 0 1
chr1 500 1 13
chr1 511 1 15
chr1 642 5 9
chr1 643 2 12
chr1 647 3 9
chr1 648 2 12
chr1 650 5 9
chr1 651 2 11
chr1 790 4 5
chr1 791 4 5
chr1 809 4 4
chr1 810 5 6
chr1 839 3 3
chr1 840 7 7
chr1 904 2 2
chr1 905 5 5
chr1 911 2 2
chr1 912 3 3
chr1 948 3 3
chr1 949 1 3
chr1 1324 1 1
chr1 1325 2 2
chr1 1439 0 10
chr1 1541 0 16
chr1 1542 0 3
chr1 1634 0 3
chr1 1635 0 4
chr1 1649 0 3
chr1 1650 0 4
chr1 1944 0 1
chr1 2024 0 1
chr1 2025 0 5
chr1 2194 0 4
chr1 2195 0 3
chr1 2257 0 4
chr1 2296 0 1
chr1 2297 0 3
chr1 2401 0 5
chr1 2431 0 1
chr1 2432 0 8
chr1 2437 0 2
chr1 2438 0 9
chr1 2478 0 1
chr1 2479 1 9
chr1 2510 0 21
chr1 2688 0 4
chr1 2689 0 1
chr1 2807 0 4
chr1 2808 0 1
chr1 2830 0 8
chr1 2845 0 9
chr1 2857 0 10
chr1 2866 0 11
chr1 2877 0 9
chr1 2918 0 4
chr1 2919 0 7
chr1 2929 0 4
chr1 2930 0 8
chr1 2977 0 5
chr1 2978 0 12
chr1 3019 0 4
chr1 3020 0 6
chr1 3069 0 17
chr1 3070 0 2
chr1 3091 0 20
chr1 3092 0 2
chr1 3123 0 6
chr1 3124 0 3
chr1 3168 0 3
chr1 3169 0 8
chr1 3292 0 1
chr1 3293 0 2
chr1 3307 0 2
chr1 3456 0 1
chr1 3518 0 1
chr1 3519 0 9
chr1 3541 0 1
chr1 3542 0 8
chr1 3673 0 10
chr1 3674 0 11
chr1 3697 0 22
chr1 3698 0 13
chr1 3707 1 25
chr1 3708 0 11
chr1 3710 0 22
chr1 3711 0 11
chr1 3713 1 21
chr1 3714 0 10
chr1 3727 0 16
chr1 3728 0 13
chr1 3743 0 10
chr1 3744 0 11
chr1 3747 0 7
chr1 3748 0 10
chr1 3787 0 8
chr1 3788 0 5
chr1 3791 0 8
chr1 3792 0 8
chr1 3795 0 10
chr1 3796 0 6
chr1 3798 0 12
chr1 3799 0 5
chr1 3807 0 14
chr1 3808 0 9
chr1 3823 0 14
chr1 3824 0 12
chr1 3834 0 11
chr1 3835 0 13
chr1 3850 0 9
chr1 3851 0 8
chr1 3852 0 8
chr1 3853 0 11
chr1 3855 0 8
chr1 3856 0 11
chr1 3873 0 14
chr1 3874 0 16
chr1 3894 1 20
chr1 3895 0 14
chr1 3910 0 16
chr1 3911 0 14
chr1 3922 0 15
chr1 3923 0 11
chr1 3952 0 16
chr1 3953 0 7
chr1 4014 0 12
chr1 4015 0 3
chr1 4043 0 7
chr1 4044 0 5
chr1 4067 0 9
chr1 4068 0 9
chr1 4083 0 14
chr1 4084 0 11
chr1 4108 0 19
chr1 4109 0 13
chr1 4160 0 12
chr1 4198 0 6
chr1 4199 0 2
chr1 4243 0 3
chr1 4244 0 12
chr1 4255 1 3
chr1 4256 0 15
chr1 4472 0 10
chr1 4473 0 11
chr1 4529 0 7
chr1 4530 0 10
chr1 4566 0 5
chr1 4567 0 18
chr1 4698 0 7
chr1 4699 0 7
chr1 4718 0 6
chr1 4719 0 9
chr1 4724 0 7
chr1 4725 0 10
chr1 4867 0 5
chr1 4868 0 16
chr1 4870 0 4
chr1 4871 0 17
chr1 4894 0 7
chr1 4895 0 18
chr1 4941 0 10
chr1 4942 0 5
chr1 5030 0 6
chr1 5031 0 7
chr1 5134 0 4
chr1 5135 0 5
chr1 5151 0 6
chr1 5152 0 8
chr1 5179 0 11
chr1 5180 0 10
chr1 5190 0 9
chr1 5191 0 12
chr1 5226 0 5
chr1 5227 2 12
chr1 5237 6 6
chr1 5238 7 10
chr1 5362 0 5
chr1 5363 0 13
chr1 5449 0 8
chr1 5450 0 10
chr1 5459 3 3
chr1 5460 6 7
chr1 5465 2 2
chr1 5466 7 8
chr1 5488 0 4
chr1 5489 0 15
chr1 5515 0 9
chr1 5516 0 14
chr1 5600 0 12
chr1 5601 0 7
chr1 5641 0 11
chr1 5642 0 3
chr1 5715 0 8
chr1 5716 0 4
chr1 5720 0 10
chr1 5721 0 4
chr1 5849 0 8
chr1 6012 0 6
chr1 6013 0 8
chr1 6025 0 5
chr1 6026 0 6
chr1 6106 0 17
chr1 6297 0 6
chr1 6335 0 2
chr1 6381 0 9
chr1 6452 0 9
chr1 6453 0 7
chr1 6473 0 9
chr1 6474 0 9
chr1 6502 5 9
chr1 6503 8 16
chr1 6512 4 9
chr1 6513 4 14
chr1 6520 3 10
chr1 6521 1 17
chr1 6683 0 9
chr1 6684 0 9
chr1 6686 1 10
chr1 6687 0 9
chr1 6692 0 11
chr1 6693 0 6
chr1 6746 0 6
chr1 6747 0 1
chr1 6750 0 7
chr1 6751 0 1
chr1 6817 0 5
chr1 6818 0 5
chr1 6920 0 6
chr1 6921 0 6
chr1 6981 0 3
chr1 6982 0 16
chr1 7020 0 3
chr1 7021 0 19
chr1 7022 0 5
chr1 7023 0 18
chr1 7034 0 7
chr1 7035 0 17
chr1 7196 5 8
chr1 7197 2 2
chr1 7391 2 2
chr1 7593 0 10
chr1 7594 0 10
chr1 7622 0 7
chr1 7623 0 11
chr1 7663 0 18
chr1 7753 0 1
chr1 7754 0 8
chr1 7798 0 5
chr1 7799 0 13
chr1 7872 0 17
chr1 7964 0 6
chr1 8277 0 10
chr1 8278 0 2
chr1 8313 0 8
chr1 8314 0 2
chr1 8421 0 3
chr1 8422 0 7
chr1 8431 0 4
chr1 8432 0 13
chr1 8570 0 1
chr1 8571 0 3
chr1 8584 0 2
chr1 8585 0 4
chr1 8595 0 2
chr1 8596 0 7
chr1 8643 0 5
chr1 8659 0 4
chr1 8662 0 4
chr1 8715 0 4
chr1 8716 0 10
chr1 8731 0 7
chr1 8732 0 15
chr1 8830 0 2
chr1 8831 0 12
chr1 8868 0 6
chr1 8869 0 4
chr1 8935 0 5
chr1 8936 0 6
chr1 9063 0 2
chr1 9064 0 2
chr1 9334 0 3
chr1 9335 0 1
chr1 9416 0 1
chr1 9417 0 2
chr1 9461 0 7
chr1 9462 0 12
chr1 9639 0 4
chr1 9852 0 15
chr1 9922 0 9
chr1 9943 0 11
chr1 10048 0 1
chr1 10049 0 3
chr1 10071 0 5
chr1 10146 0 1
chr1 10147 0 3
chr1 10161 0 1
chr1 10162 0 7
chr1 10195 0 3
chr1 10196 0 9
chr1 10209 0 4
chr1 10210 0 8
chr1 10214 0 7
chr1 10215 0 9
chr1 10268 0 8
chr1 10269 0 17
chr1 10373 0 3
chr1 10374 0 5
chr1 10421 0 11
chr1 10513 0 2
chr1 10514 0 12
chr1 10609 0 6
chr1 10610 0 1
chr1 10732 0 1
chr1 10733 0 4
chr1 10774 0 1
chr1 10775 0 7
chr1 10803 0 8
chr1 10808 0 1
chr1 10809 0 7
chr1 11240 0 14
chr1 11565 0 12
chr1 11575 0 10
chr1 11576 0 1
chr1 11672 0 12
chr1 11673 0 2
chr1 11726 0 4
chr1 11727 0 2
chr1 11753 0 4
chr1 11754 0 7
chr1 11763 0 3
chr1 11764 0 9
chr1 11924 0 8
chr1 11963 0 2
chr1 11964 0 11
chr1 11976 0 2
chr1 11977 0 11
chr1 12013 0 3
chr1 12014 0 4
chr1 12018 0 3
chr1 12019 0 11
chr1 12101 0 3
chr1 12102 0 3
chr1 12104 0 3
chr1 12105 0 5
chr1 12116 0 2
chr1 12117 0 6
chr1 12125 0 5
chr1 12126 0 8
chr1 12128 0 5
chr1 12129 0 8
chr1 12140 0 8
chr1 12141 0 15
chr1 12154 0 8
chr1 12155 0 13
chr1 12185 0 4
chr1 12186 0 13
chr1 12218 0 6
chr1 12219 0 17
chr1 12227 0 6
chr1 12228 0 16
chr1 12271 0 7
chr1 12272 0 10
chr1 12282 0 11
chr1 12283 0 9
chr1 12303 0 19
chr1 12304 0 4
chr1 12316 0 22
chr1 12317 0 3
chr1 12330 0 16
chr1 12331 0 2
chr1 12338 0 15
chr1 12339 0 3
chr1 12343 0 12
chr1 12344 0 3
chr1 12395 0 11
chr1 12396 0 1
chr1 12442 0 20
chr1 12443 0 5
chr1 12454 0 23
chr1 12455 0 8
chr1 12505 0 21
chr1 12506 0 15
