Chr Pos M Cov
chr1 109 1 1
chr1 110 11 11
chr1 115 3 4
chr1 116 11 11
chr1 161 7 8
chr1 162 2 2
chr1 310 5 12
chr1 311 0 2
chr1 500 2 8
chr1 501 0 2
chr1 511 3 11
chr1 512 1 3
chr1 642 5 7
chr1 643 3 6
chr1 647 4 5
chr1 648 4 6
chr1 650 4 5
chr1 651 3 7
chr1 790 8 9
chr1 791 6 6
chr1 809 7 7
chr1 810 9 9
chr1 839 3 3
chr1 840 6 7
chr1 904 5 5
chr1 905 11 11
chr1 911 4 4
chr1 912 12 12
chr1 948 2 2
chr1 949 14 15
chr1 1324 0 2
chr1 1325 1 3
chr1 1439 0 11
chr1 1440 0 1
chr1 1541 0 10
chr1 1542 0 1
chr1 1634 0 3
chr1 1635 0 2
chr1 1649 0 2
chr1 1650 0 2
chr1 1778 0 4
chr1 1779 0 4
chr1 1944 0 4
chr1 2025 0 3
chr1 2194 0 1
chr1 2195 0 4
chr1 2257 0 4
chr1 2297 0 7
chr1 2401 0 5
chr1 2431 0 1
chr1 2432 0 8
chr1 2437 0 1
chr1 2438 0 8
chr1 2479 0 9
chr1 2510 0 12
chr1 2688 0 1
chr1 2689 0 3
chr1 2807 0 5
chr1 2808 0 3
chr1 2830 0 10
chr1 2845 0 12
chr1 2857 0 10
chr1 2858 0 1
chr1 2866 0 9
chr1 2867 0 2
chr1 2877 0 8
chr1 2878 0 5
chr1 2918 0 4
chr1 2919 0 14
chr1 2929 0 4
chr1 2930 0 11
chr1 2977 0 5
chr1 2978 0 7
chr1 3019 0 4
chr1 3020 0 6
chr1 3069 0 3
chr1 3070 0 2
chr1 3091 0 12
chr1 3092 0 2
chr1 3123 0 7
chr1 3124 0 5
chr1 3169 0 15
chr1 3292 0 1
chr1 3518 0 3
chr1 3519 0 9
chr1 3541 0 1
chr1 3542 0 8
chr1 3604 0 1
chr1 3605 0 2
chr1 3673 0 6
chr1 3674 0 7
chr1 3697 0 18
chr1 3698 0 6
chr1 3707 0 22
chr1 3708 0 5
chr1 3710 0 22
chr1 3711 0 5
chr1 3713 0 23
chr1 3714 0 5
chr1 3727 0 17
chr1 3728 0 6
chr1 3743 0 9
chr1 3744 0 7
chr1 3747 0 9
chr1 3748 0 4
chr1 3787 0 8
chr1 3788 0 6
chr1 3791 0 11
chr1 3792 0 7
chr1 3795 0 10
chr1 3796 0 6
chr1 3798 0 11
chr1 3799 0 6
chr1 3807 0 13
chr1 3808 0 2
chr1 3823 0 16
chr1 3824 0 5
chr1 3834 0 21
chr1 3835 0 8
chr1 3850 0 22
chr1 3851 0 13
chr1 3852 0 20
chr1 3853 0 14
chr1 3855 0 21
chr1 3856 0 15
chr1 3873 0 18
chr1 3874 0 14
chr1 3894 0 11
chr1 3895 0 8
chr1 3910 0 10
chr1 3911 0 12
chr1 3922 0 9
chr1 3923 0 13
chr1 3952 0 13
chr1 3953 0 8
chr1 4014 0 9
chr1 4015 0 4
chr1 4043 0 14
chr1 4044 0 8
chr1 4067 0 16
chr1 4068 0 8
chr1 4083 0 19
chr1 4084 0 9
chr1 4108 0 15
chr1 4109 0 2
chr1 4160 0 9
chr1 4198 0 3
chr1 4199 0 3
chr1 4243 0 2
chr1 4244 0 7
chr1 4255 0 2
chr1 4256 0 6
chr1 4472 0 8
chr1 4473 0 15
chr1 4529 0 9
chr1 4530 0 12
chr1 4566 0 5
chr1 4567 0 11
chr1 4698 0 7
chr1 4699 0 8
chr1 4718 0 5
chr1 4719 0 7
chr1 4724 0 5
chr1 4725 0 9
chr1 4867 0 12
chr1 4868 0 12
chr1 4870 0 12
chr1 4871 0 13
chr1 4894 0 15
chr1 4895 0 15
chr1 4941 0 12
chr1 5030 0 9
chr1 5031 0 1
chr1 5134 0 2
chr1 5135 0 9
chr1 5151 0 4
chr1 5152 0 7
chr1 5179 0 4
chr1 5180 0 4
chr1 5190 1 4
chr1 5191 1 5
chr1 5226 2 5
chr1 5227 1 12
chr1 5237 2 6
chr1 5238 3 10
chr1 5362 0 8
chr1 5363 0 9
chr1 5449 2 6
chr1 5450 4 7
chr1 5459 3 4
chr1 5460 5 5
chr1 5465 2 3
chr1 5466 3 4
chr1 5489 0 5
chr1 5515 0 4
chr1 5516 0 5
chr1 5600 0 14
chr1 5601 0 4
chr1 5641 2 9
chr1 5642 2 6
chr1 5715 0 11
chr1 5716 0 1
chr1 5720 0 11
chr1 5721 0 1
chr1 5849 0 10
chr1 6012 0 7
chr1 6013 0 8
chr1 6025 0 4
chr1 6026 0 8
chr1 6106 0 12
chr1 6296 0 2
chr1 6297 0 5
